operatorname,stop_id,pointgeo,stop_name,route_long_name,latitude,longitude,nom_commune,plans
RATP,IDFM:462984,"[ 48.877649808521461, 2.3704675747938642 ]",Colonel Fabien,2,48.87764980852146,2.370467574793864,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463117,"[ 48.856244678437371, 2.3947127337554788 ]",Alexandre Dumas,2,48.85624467843737,2.3947127337554788,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22112,"[ 48.86248637862667, 2.3876893260656895 ]",Père Lachaise,2,48.86248637862667,2.3876893260656895,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463296,"[ 48.882345818796139, 2.3213591738229726 ]",Rome,2,48.88234581879614,2.3213591738229726,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22094,"[ 48.874994576171083, 2.2958117752357627 ]",Charles de Gaulle - Etoile,2,48.87499457617108,2.2958117752357627,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22108,"[ 48.878200752828299, 2.2981136521983068 ]",Ternes,2,48.8782007528283,2.2981136521983068,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463120,"[ 48.882868568843925, 2.3441548403302916 ]",Anvers,2,48.882868568843925,2.3441548403302916,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22107,"[ 48.884243984567746, 2.3657514391249892 ]",Stalingrad,2,48.884243984567746,2.365751439124989,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:462981,"[ 48.881596221131936, 2.3701539703369967 ]",Jaurès,2,48.881596221131936,2.3701539703369967,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463285,"[ 48.862449844937458, 2.3875798912544455 ]",Père Lachaise,2,48.86244984493746,2.3875798912544455,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22128,"[ 48.872314077361665, 2.3768306915222848 ]",Belleville,2,48.872314077361665,2.3768306915222848,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463094,"[ 48.883852349861876, 2.3505734008885142 ]",Barbès - Rochechouart,2,48.883852349861876,2.350573400888514,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22106,"[ 48.881306447047969, 2.3157165772440385 ]",Villiers,2,48.88130644704797,2.3157165772440385,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463256,"[ 48.8717351159749, 2.2778093495879346 ]",Porte Dauphine,2,48.8717351159749,2.2778093495879346,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:22111,"[ 48.871396795248316, 2.2776327175452717 ]",Porte Dauphine,2,48.871396795248316,2.2776327175452717,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
RATP,IDFM:463043,"[ 48.874945793134131, 2.295927507409278 ]",Charles de Gaulle - Etoile,2,48.87494579313413,2.295927507409278,Paris,"[{""link"": ""https://www.ratp.fr/sites/default/files/lines-assets/plan-de-ligne/metro/plan-de-ligne_metro_ligne-2.pdf"", ""label"": ""Plan Métro 2""}]"
